"claim_id","claim_text","claim_type","status","evidence_required","evidence_path","allowed_context","prohibited_expansion","human_review"
"C011","The FP32 ONNX model matches PyTorch within the 1e-4 frozen threshold on eight parity samples.","result","SUPPORTED_TEST","Checksum-bound export and parity sidecar","artifacts/plategauge.onnx.evidence.json","Exact artifact and parity sample only; maximum drift 5.185604095e-06","Do not claim equivalence on all inputs or browsers","Gate C approved 2026-09-20 within memo boundaries"
"C012","On the measured HP Laptop 15-fd0xxx in headed Chrome 152.0.7977.83 the exact model reached warm p50 18.78000009059906 ms p95 22.119999885559082 ms and peak application memory 45.64192485809326 MiB.","result","SUPPORTED_REFERENCE_TEST","Exact-model physical-browser measurement and evaluator","reports/browser_benchmark.json","Only the documented i7-1355U 15.652 GiB Windows 10.0.22631 reference environment; 3 warmups and 20 measurements","No phone universal unmeasured-browser or deployed-site performance claim","Gate C approved 2026-09-20 within memo boundaries"
"C013","PlateGauge is not validated for clinical use arbitrary meals or scale replacement.","limitation","SUPPORTED","Scope model and system cards","docs/SCOPE_AND_NON_GOALS.md; docs/MODEL_CARD.md; docs/SYSTEM_CARD.md","All public material","Do not omit beside benchmark examples","Gate C approved 2026-09-20; required boundary"
"C014","No v1 user study was conducted.","validation","SUPPORTED","User-testing decision and result record","docs/USER_TEST_RESULTS.md","All validation descriptions","Do not imply users found it useful or usable","Not separately enumerated in Gate C approval; factual limitation remains"
"C015","The project used substantial AI assistance.","authorship","SUPPORTED","Public AI-assistance and authorship disclosures","docs/AI_ASSISTANCE_PUBLIC.md; docs/AUTHORSHIP.md","Repository and public project disclosure","Do not claim entirely independent implementation","Gate C approved the no-solo-authorship boundary; exact contribution wording remains pending"
"C016","A named human contributor can independently reproduce the core workflow.","contribution","PENDING_HUMAN","Dated frozen-path reproduction record","Private review record; public status in docs/AUTHORSHIP.md","Only after the reproduction is recorded","Do not infer independent reproduction from approval or file existence","Not approved; Gate C does not establish independent reproduction"
"C017","PlateGauge reduces food waste or cost.","impact","PROHIBITED","Would require field causal evidence","None","None","Do not use","Not applicable"
"C018","PlateGauge works for UAE foods institutions smartphones or uncontrolled photography.","external_validity","PROHIBITED","Would require representative external validation","None","None","Do not use","Not applicable"
"C019","PlateGauge replaces a scale.","product","PROHIBITED","Would require operational metrology validation","None","None","Do not use","Not applicable"
"C020","PlateGauge is first state of the art or production-ready.","novelty","PROHIBITED","Would require exhaustive directly comparable evidence and production validation","None","None","Do not use","Not applicable"
"C021","The paired model qualifies for a public numeric estimator.","product_gate","REFUTED","Frozen public numeric-demo gate","reports/results.json","May state that the gate failed","Do not release an unrestricted numeric estimator under v1 evidence","Gate C approved 2026-09-20 as a prohibited product claim"
"C022","The evidence recommends a benchmark/failure explorer rather than an unrestricted estimator.","product_gate","SUPPORTED_GATE_C_APPROVED","Frozen decision rules and failure analyses","reports/results.json; docs/RESULTS.md; docs/ERROR_ANALYSIS.md; docs/RESEARCH_DECISIONS.md","Gate C-approved product form; prepare only for Gate D review","Do not infer deployment Gate D approval or independent contribution verification","Approved 2026-09-20 with Gate C review memo boundaries"
"C023","The final model is robust to routine capture perturbations.","robustness","REFUTED_BY_GATE","Frozen perturbation report","reports/robustness.json","May describe individual deltas and the downgrade","Do not make a robustness smartphone or field claim; after-image blur breached +0.03","Gate C approved 2026-09-20 as a prohibited robustness claim"
"C024","Same-category CV was 0.0180942796 macro MAE lower than category-disjoint CV on the matched 511-row 31-category estimand.","diagnostic","SUPPORTED_CONTEXT_ONLY","Frozen isolated secondary diagnostic","reports/experiments/same_category_v1/summary.json","Secondary context with bootstrap interval crossing zero","Do not call it a causal category-shift effect or use it to replace the primary result","Gate C approved 2026-09-20 as contextual evidence only"
"C025","Excluding four visually discordant cases reverses the paired-versus-after-only finding.","sensitivity","REFUTED_POSTHOC","Post hoc sensitivity report","reports/label_sensitivity.json","May state direction did not reverse","Do not call the four cases label errors or alter frozen results","Gate C approved 2026-09-20 as counterevidence; reversal claim remains prohibited"
"C026","The benchmark/failure-explorer form and its claim boundaries were selected after review of the frozen evidence.","governance","SUPPORTED_GATE_C_APPROVED","Public non-verbatim research-decision and authorship summaries","docs/RESEARCH_DECISIONS.md; docs/AUTHORSHIP.md","Governance status and preparation for Gate D review","Do not imply deployment release tagging Gate D approval or independent contribution verification","Approved 2026-09-20"
"C027","All 154 workbook rows without archived image pairs belong to source categories 034 through 049.","data","SUPPORTED_AUDIT","Source-row status ledger","data/manifests/lefood_v1_source_audit.csv; docs/DATASHEET.md","Dataset composition and selection-bias disclosure","Do not infer performance for the 16 absent categories","Public factual limitation"
"C028","Exact zero and exact one account for 254 of 514 valid targets (49.4%).","data","SUPPORTED_AUDIT","Frozen manifest and target-slice counts","data/manifests/lefood_v1_manifest.csv; reports/results.json","Dataset composition and metric-interpretation disclosure","Do not use endpoint performance to imply uniform accuracy across target ranges","Public factual limitation"
"C029","The wrong-pair workload is a destructive mismatch control and does not isolate incremental value from the before image.","method","SUPPORTED_IMPLEMENTATION","Frozen workload implementation and prediction evidence","src/plategauge/workloads.py; docs/RESULTS.md; docs/RESEARCH_DECISIONS.md","Method interpretation","Do not call it proof that the before image adds signal","Public methodological limitation"
